test_window,DUID,train_corr_plant_specific,train_corr_pooled,test_actual_demand_price_corr,plant_specific_sign_matches_test,pooled_sign_matches_test,persistence_sign_matches_test,mae_constant,mae_pooled_naive,mae_plant_specific,r2_pooled_vs_constant,r2_plant_specific_vs_constant
monthly_202411,BW01,-0.6165004805284692,-0.28188718784745104,-0.4091721707928584,True,True,,2227.213220774301,2091.8629417945904,1716.8814205334759,0.11760960555659772,0.31269980092009086
monthly_202411,BW02,-0.4541627104006467,-0.28188718784745104,0.08904670418264223,False,False,,3544.356335054936,6731.019719201855,3490.191456973297,-2.630735648148515,-0.19577350734274312
monthly_202411,ER01,0.013568577381860425,-0.28188718784745104,-0.2328743220685362,False,True,,904.5363905085517,1756.1130243067753,889.6827507209421,-0.2330162325387739,-0.006530728287444498
monthly_202411,ER02,0.005395662932801773,-0.28188718784745104,-0.23592877855358824,False,True,,1160.7738126495847,1860.212162317031,1163.902735333581,0.06956114522940948,-0.003632556060757075
monthly_202412,BW01,-0.578400722593533,-0.2379236295850658,-0.712369192076754,True,True,True,2194.653156027398,1921.7231503750509,1464.711445392093,0.3917231535825684,0.5221828493839038
monthly_202412,BW02,-0.36280627667594606,-0.2379236295850658,-0.23706594828974195,True,True,False,4603.043594707965,4574.192489221044,4445.675092915916,-0.20475576867101664,-0.0039790617669426265
monthly_202412,ER01,-0.03480962974448167,-0.2379236295850658,-0.10361567154180558,True,True,True,908.2395014243001,1696.0252686910223,907.3961618413566,-0.47711441430577306,0.0068435589392352725
monthly_202412,ER02,-0.06096104066039128,-0.2379236295850658,-0.20606081716593103,True,True,True,1166.1347619186392,2004.103621886055,1142.0070132634667,-0.025025421756984745,0.018746742306282038
monthly_202501,BW01,-0.5940825405787531,-0.24589665396362376,-0.5725930461610992,True,True,True,1807.5525942369636,1731.2260805046599,1209.3515203689394,0.28341814742095817,0.42708699357957347
monthly_202501,BW02,-0.33443912143575105,-0.24589665396362376,-0.014117191235816607,True,True,True,3244.556674125926,6403.524139183832,3380.0239976045377,-2.8858812815246773,-0.18772651159950127
monthly_202501,ER01,-0.04197963222986448,-0.24589665396362376,-0.3217358552606678,True,True,True,2000.9074918962544,1571.3158366236287,2022.1013845787793,0.4287341643606498,0.008359579260675765
monthly_202501,ER02,-0.09308573092221537,-0.24589665396362376,-0.39379588393890397,True,True,True,1612.3970129301506,1760.356635282547,1564.7413325338614,0.3116708926134165,0.03734323336809853
monthly_202502,BW01,-0.5893397035874767,-0.2326982135731987,-0.5738376846237455,True,True,True,2111.063944969583,1876.6847826371734,1811.2546859471595,0.28483372738076107,0.1988978246176515
monthly_202502,BW02,-0.2808328645477059,-0.2326982135731987,0.09887604594403157,False,False,False,3564.5514401298356,3652.8013028920705,3659.2604793379733,0.10743610038595353,-0.020225358712168795
monthly_202502,ER01,-0.07286960774655231,-0.2326982135731987,-0.1544997500260304,True,True,True,1258.8830696321336,1963.4322166921077,1214.5566940242104,-0.36259383869898176,0.012369409464990655
monthly_202502,ER02,-0.13801971792741047,-0.2326982135731987,-0.25160067958425664,True,True,True,1320.7804282316924,2089.91234239376,1200.0784299949876,-0.2662655027735519,0.05219262410934633
monthly_202503,BW01,-0.5724144930486479,-0.22894128942130654,-0.26755143751079713,True,True,True,2152.092951640614,2094.5534784286406,2097.7671548159324,0.09800150583046774,-0.17639483318511595
monthly_202503,BW02,-0.24755918516274342,-0.22894128942130654,-0.2606577449110456,True,True,False,3265.4276476772607,2190.486744449939,3032.2073927610586,0.5565269413601024,0.13400242336720136
monthly_202503,ER01,-0.08241874850474731,-0.22894128942130654,-0.23428219485984839,True,True,True,1857.1205786201838,2341.6355923651186,1776.6977318326146,0.07364085440025958,0.005955724826326669
monthly_202503,ER02,-0.15337958324852494,-0.22894128942130654,-0.21616031714726808,True,True,True,1133.4447372608108,1947.936199323873,978.9302662630112,-0.40737472384262063,0.0605236707850515
monthly_202504,BW01,-0.5248378974807328,-0.23197097196902403,-0.10902342988953843,True,True,True,4111.481517358129,3943.087016319982,3953.8381776740066,0.15309842335387103,0.010150206247880877
monthly_202504,BW02,-0.2662676946637051,-0.23197097196902403,-0.004363925781108339,True,True,True,3931.411353323423,4926.9029346958705,3819.5973226971028,-0.7148454510999966,-0.03391794253426439
monthly_202504,ER01,-0.09116841466637927,-0.23197097196902403,-0.5175287489592105,True,True,True,1992.3266461057196,2048.898221627779,1923.4586593937208,0.30765699327189366,0.0767534536567902
monthly_202504,ER02,-0.16178562587917072,-0.23197097196902403,-0.4881982637355898,True,True,True,1942.4035954068345,2106.336366022338,1822.1567126130067,0.30459715362781803,0.11209545609201266
monthly_202505,BW01,-0.4794153044810546,-0.23801481501041152,-0.4315396963197971,True,True,True,1539.9270646137677,1364.8259561032037,1035.6350813158824,0.1832117043644066,0.3459089218706296
monthly_202505,BW02,-0.24449479864699594,-0.23801481501041152,-0.2957877876051568,True,True,True,4438.507689856364,1745.934063303762,4026.541477624325,0.7420930643263312,0.1618019650025735
monthly_202505,ER01,-0.14777619386367702,-0.23801481501041152,-0.27500739101057114,True,True,True,1391.7615635973586,1925.6072306515166,1222.7048664116023,-0.18807203939284478,0.0639901996568848
monthly_202505,ER02,-0.20873560524215154,-0.23801481501041152,-0.29664384859667203,True,True,True,1263.6941077962583,1885.9947061761454,1052.480808964224,-0.20519455357027194,0.07752238079860907
monthly_202506,BW01,-0.4789912622125222,-0.25010109375288797,-0.1374137014965171,True,True,True,2140.2903519020224,1721.6041850574334,1425.5582677055884,0.11452365368360917,0.1018179875201255
monthly_202506,BW02,-0.2660974921917314,-0.25010109375288797,-0.3135443258978588,True,True,True,4582.129416628268,1238.444188495548,3456.467483473985,0.8913314706991667,0.4016138790362829
monthly_202506,ER01,-0.15881749317453916,-0.25010109375288797,-0.19341555829427068,True,True,True,1581.1490395158578,1660.1234418478384,1481.7813790105815,0.07561238733685116,-0.03632310719005605
monthly_202506,ER02,-0.2147558959410055,-0.25010109375288797,-0.4344954837830706,True,True,True,1317.336993410934,1493.9420453945122,996.3054832501714,0.11345860684576636,0.09049977668967857
monthly_202507,BW01,-0.45279524054949977,-0.26826607786451756,-0.3654502994736357,True,True,True,2885.8875343636187,2614.5596562362643,2834.5408223787576,-0.0356153292063377,-0.17803618571764313
monthly_202507,BW02,-0.3354868107692855,-0.26826607786451756,-0.5826326968261641,True,True,True,3167.1018663064356,1425.854986451065,1884.8710551735583,0.5003632344480583,0.5525413438331821
monthly_202507,ER01,-0.13908835899412192,-0.26826607786451756,-0.2570989421903039,True,True,True,1122.844331784471,1269.9416071999638,882.9958199700288,-0.047364979925321515,0.09030208446004351
monthly_202507,ER02,-0.22594797205762865,-0.26826607786451756,-0.27149124634196903,True,True,True,1276.769901559684,1519.0893478091898,979.7278368823436,0.04541147805603041,0.004483633380331864
monthly_202508,BW01,-0.3927171392978484,-0.2715660709621779,-0.6399205806744411,True,True,True,1913.3394739201728,1417.2528672932408,1361.78896938986,0.2964786578619232,0.3360167242056451
monthly_202508,BW02,-0.3750918954316949,-0.2715660709621779,-0.5168254302341923,True,True,True,4229.041616526083,2938.157172039073,3183.8419252123717,0.06058698512248051,0.27251095489150456
monthly_202508,ER01,-0.15704859593275475,-0.2715660709621779,-0.27786000493809837,True,True,True,1482.7236451080266,1744.7055805500117,1265.1388243553404,0.09865167754038395,0.056967013401522104
monthly_202508,ER02,-0.21890375220852193,-0.2715660709621779,-0.32064350535871367,True,True,True,1073.569801701268,1525.5906738202582,828.5597691918268,0.04057087672541815,0.09686951755167184
monthly_202509,BW01,-0.4035674552456512,-0.2826469789817377,-0.7343897295819667,True,True,True,3926.410320772546,3306.0877994939724,2938.7985555717783,0.31423423199493683,0.4671741274269724
monthly_202509,BW02,-0.3921808966544307,-0.2826469789817377,-0.7189702374571836,True,True,True,4951.86203834974,4192.972957630682,4203.986204719459,0.1075013607371047,0.28561510452129135
monthly_202509,ER01,-0.1633624123914144,-0.2826469789817377,-0.659940734901299,True,True,True,2684.28862379221,2718.8583259170205,2477.56242274034,0.34952482373963434,0.15093643474658713
monthly_202509,ER02,-0.22592928696612585,-0.2826469789817377,-0.44029282928521357,True,True,True,3295.8902938365245,3334.779058082382,3099.4406750424637,0.3038249085486001,0.11507369486475327
monthly_202510,BW01,-0.43959521611753305,-0.3220927595409957,-0.7322512613480462,True,True,True,4152.2727547945005,3613.2961297936495,3219.663481589718,0.31568378275451914,0.44624550572563093
monthly_202510,BW02,-0.41972639340986023,-0.3220927595409957,-0.7249883010175429,True,True,True,5589.257999869642,4220.697278599303,5129.015297667877,0.3244391509665613,0.17940018330846463
monthly_202510,ER01,-0.22976021679284314,-0.3220927595409957,-0.31643653288643075,True,True,True,1292.2215968253681,2223.158916997735,1363.7758791755418,-0.6663269995175574,0.08130936264449518
monthly_202510,ER02,-0.2638451857281283,-0.3220927595409957,-0.3650485608569145,True,True,True,1199.8408934643344,2442.023656977218,1351.1009193618004,-0.9966883809129996,0.0489253049401448
monthly_202511,BW01,-0.45324239929298293,-0.3282876101091699,-0.5819836948063761,True,True,True,3878.6421538573377,3373.416190312743,3092.4226515600917,0.2746315366940074,0.34940149933036446
monthly_202511,BW02,-0.422195062743689,-0.3282876101091699,-0.5721752251804143,True,True,True,4926.264140867729,3801.00642866134,4364.0383973038015,0.3142902911582651,0.1765821937264871
monthly_202511,ER01,-0.23063135933913645,-0.3282876101091699,-0.26965765237040434,True,True,True,1869.517869408308,2563.7712910581668,1909.2741292148773,-0.023618135373896232,0.09888478604079143
monthly_202511,ER02,-0.26083074473978535,-0.3282876101091699,-0.2713741597836581,True,True,True,1775.2484121943178,2491.972142354212,1815.4017878977502,-0.019346326587389218,0.1185598753277688
monthly_202512,BW01,-0.45386072174900005,-0.33080827516287514,-0.6733201372192633,True,True,True,3794.6281401174288,2996.268158920059,2703.6853060645612,0.38772599032700594,0.48794518363546246
monthly_202512,BW02,-0.4176034724007647,-0.33080827516287514,-0.4398560336796391,True,True,True,4806.980090293838,4315.240884017487,4161.915059137892,0.003947203115200804,0.22314899954310885
monthly_202512,ER01,-0.23544366732465905,-0.33080827516287514,-0.31245851798627583,True,True,True,1993.770796714253,2449.642493440615,1995.1177636297678,0.050429681556880546,0.1084459873011886
monthly_202512,ER02,-0.2645955409107873,-0.33080827516287514,0.028522236635641237,False,False,False,2942.8393363246632,3400.290697855987,3110.303564518887,0.05599056270892777,-0.00938624238370589
monthly_202601,BW01,-0.47095557347565253,-0.3341950125226147,-0.5805733131501885,True,True,True,3457.143328942936,3031.354454713111,3028.0439572651076,0.22219383216989697,0.2092133328912259
monthly_202601,BW02,-0.42049590373234247,-0.3341950125226147,-0.5971220227311728,True,True,True,3811.6840306067834,3582.075586541796,3050.101577380117,0.029803041045766587,0.3456796863463232
monthly_202601,ER01,-0.24387452416953445,-0.3341950125226147,-0.2287116046565113,True,True,True,1733.1252459421785,2104.1489682539454,1597.2457411773546,0.018012444362524582,0.09671806695051499
monthly_202601,ER02,-0.24074366352733811,-0.3341950125226147,-0.03280425654876926,True,True,False,3491.8678722178265,3728.107400530108,3504.7059707713415,0.08840882347827672,-0.02198396120249546
monthly_202602,BW01,-0.47391694797360184,-0.33378481181222824,-0.5295617750432278,True,True,True,2544.780507877453,2246.808627858605,2298.0402360132134,0.16125702026278022,0.10445383966397337
monthly_202602,BW02,-0.4306527939698407,-0.33378481181222824,-0.5926953897131171,True,True,True,2934.4217287506467,2484.9095968943243,2248.1695295095737,0.22200875090137095,0.4107716111667171
monthly_202602,ER01,-0.24280787117940286,-0.33378481181222824,-0.18468432143544897,True,True,True,1431.4482844240067,1769.7504419390298,1216.9720400510091,-0.0749091560272821,0.06273272848992861
monthly_202602,ER02,-0.21435574797586338,-0.33378481181222824,-0.023295013363032472,True,True,True,2214.7486831654383,2511.6606832330613,2084.2111791299735,-0.027774457143824982,-0.03478388708770974
monthly_202603,BW01,-0.4729631889935243,-0.3326802302164379,-0.5480633508706574,True,True,True,2463.0204622235055,2121.5534306456225,2111.2385412971144,0.23218847795008857,0.20732258107560764
monthly_202603,BW02,-0.43823461836494426,-0.3326802302164379,-0.5729869910881643,True,True,True,3122.58401355621,2437.8418202189528,2517.63803934212,0.3107418039642619,0.3174426308354964
monthly_202603,ER01,-0.24119008759116983,-0.3326802302164379,-0.17726126766927489,True,True,True,1434.339552459618,1914.5098459204721,1327.5430966222327,-0.3509358836794909,-0.010069045747923777
monthly_202603,ER02,-0.19831776808026283,-0.3326802302164379,-0.20640628443280237,True,True,True,1770.0365751875163,2078.982827248151,1658.946292386226,-0.12594888027783702,0.023837754903527575
monthly_202604,BW01,-0.47555811823192023,-0.33487020563354175,-0.4685049570226904,True,True,True,2786.5413361216933,2412.876044731648,2440.8585911541413,0.22354273149517356,0.17715374453544241
monthly_202604,BW02,-0.44239129466147187,-0.33487020563354175,-0.5730955763279181,True,True,True,3166.208244305464,2531.0783560329896,3000.9848767866097,0.2799113525194271,0.1826723562268009
monthly_202604,ER01,-0.23916782711936496,-0.33487020563354175,-0.3847737880292931,True,True,True,1846.807650438811,2165.33209749886,1805.7673444635159,0.06977265770293462,0.13023280663739645
monthly_202604,ER02,-0.19857047208857795,-0.33487020563354175,-0.3168732538455572,True,True,True,1888.7252951606372,2185.7376614830864,1877.4029717036703,-0.01788230068970864,0.09049234972038256
monthly_202605,BW01,-0.4765319507987719,-0.33820181476635847,-0.4481657460761823,True,True,True,2890.912703398478,2420.101103171526,2283.270638002388,0.24333404787527046,0.28671080039527086
monthly_202605,BW02,-0.4414710127319138,-0.33820181476635847,-0.4468532159520279,True,True,True,3803.068540634942,3055.0713783819633,3250.599477430571,0.13827785392776137,0.21307735288620544
monthly_202605,ER01,-0.24712602693179658,-0.33820181476635847,-0.05310162696937921,True,True,True,1335.8431935442288,1790.848054207901,1190.9247926545656,-0.23502272828131487,-0.04085588628386416
monthly_202605,ER02,-0.20442563824920115,-0.33820181476635847,-0.17185119076161237,True,True,True,1407.4275011571692,1752.4927211347044,1252.8976379073672,-0.2592215430688498,0.05808024239623599
monthly_202606,BW01,-0.47595030079125056,-0.3375384247371357,-0.6561016196667299,True,True,True,2454.398901100277,1821.9863714714388,1675.09800469062,0.4095833132886779,0.4640662138040399
monthly_202606,BW02,-0.4416549533907662,-0.3375384247371357,-0.6716876197049938,True,True,True,3343.1425499272746,1990.2521295534693,2180.7179874460885,0.5681003841010017,0.5573399978953052
monthly_202606,ER01,-0.2413801385875279,-0.3375384247371357,-0.21330460917868663,True,True,True,1409.0430621813919,1444.4429957916072,1092.0311095036475,0.02415925639585703,0.037087825406827646
monthly_202606,ER02,-0.2045568693617494,-0.3375384247371357,0.30381240679848254,False,False,False,3419.8717446348287,3587.214773162539,3368.405074223908,-0.07676843613207773,-0.09850386788340493
